Table S1-1: Sample information, sequencing and contamination for the individuals analyzed in this study																										
ID	Site	Location	Latitude	longitude	Period	Culture	Dates (BP) on specimen	Dates (E)	Region	Department	Archeologist	Bone type	Site Number FigS1-1	analysis method	Group Label mtDNA	Group Label Genome	% endogenous DNA	Sex	mt Haplogroup shotgun	Y haplogroup (shotgun)	mt haplogroup (capture)	Y haplogroup (capture)	Capture mt reads	mt contamination	X contamination (Method2: MoM, SE)	
BERG79	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg	5205 +/-35BP (Poz-53882)	4222-3956	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						K1a2c	E1b1b1a1	18205	0.005+/-0.005		
BERG61	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg			Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich											
BERG34-1	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg	5190 +/-40BP (Poz-53880)	4224-3824	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						K1a2a		14149	0+/-0		
BERG34-2	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg			Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich											
BERG02-2	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg	5135 +/- 35BP (Poz-53879)	4037-3803	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture + shotgun	EF-Mich	EF-MN2	42.001	XX	W5b		W5b		18541	0+/-0		
BERG02-3	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg			Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich											
BERG02-5	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg		4000-3800	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						W5b		19419	0+/-0		
BERG157-1	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg	5245 +/-35BP (Poz-53887)	4300-3900	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						U8a1	I2	17096	0+/-0		
BERG157-2	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg		4300-3900 	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture + shotgun	EF-Mich	EF-MN2	75.164	XX	J1c1b		J1c1b		32106	0+/-0		
BERG157-3	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg		4300-3900	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						K1a-195	E1b1b1a1	28911	0+/-0		
BERG157-4	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg		4300-3900	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						X2b	E1b1b	27397	0+/-0		
BERG157-5	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg		4300-3900	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						J2b1a	I2a1a2	31682	0+/-0		
BERG157-6	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg		4300-3900	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						J1c1b1		31775	0+/-0		
BERG157-7	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg	5335 +/-35BP (Poz-53888)	4315-4048	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture + shotgun	EF-Mich	EF-MN2	63.039	XY	U5b1c	I2a1b	U5b1c	I2a1a2~	31344	0+/-0	0.002785	0.007237889
BERG157-9	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg		4300-3900	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						K1a3a	E1b1b1a1	32687	0+/-0		
BERG103-2	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg	5020 +/-35BP (Poz-53883)	3943-3710	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						X2b-226	I2a2b1h~	10318	0+/-0		
BERG746	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg	4995 +/-35BP (Poz-53889)	3941-3666	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						U5b2a3	I2a1a2	16091	0+/-0		
BERG118-1	Saulager	Bergheim	43.21817	2.4127	Middle Neolithic 2	BORS-Michelsberg	4970 +/-40BP (Poz-53885)	3930-3654	Grand-Est (East)	Haut-Rhin	B. Perrin	PB	6	capture	EF-Mich						K1		9298	0+/-0		
Schw9	Lotissement Les Terrasses de la Zorn	Schwindratzheim	48.75563	7.59958	Middle Neolithic 2	Bisheim			Grand-Est (East)	Bas-Rhin	A. Denaire	PB	3	capture	EF-Mich											
WET370	Wettolsheim	Wettolsheim	48.0578	7.3	Middle Neolithic 2		4764 +/-45BP (LTL18703A)	3645-3497	Grand-Est (East)	Haut-Rhin	C. Jeunesse	PB	15	shotgun	EF-Mich	EF-MN2	59.2	XY	H1c5a'						-0.005486	0.005689159
PSS2042	Ferme de l'Ile	Pont-sur-Seine	48.51852	3.59633	Middle Neolithic 2	Noyen		-	Grand-Est (East)	Aube	F. Dugois/S. Loiseau	PB	23	capture	EF-Noy						U5b2c		13735	0+/-0		
PSS282	Ferme de l'Ile	Pont-sur-Seine	48.51852	3.59633	Middle Neolithic 2	Noyen		-	Grand-Est (East)	Aube	F. Dugois/S. Loiseau	PB	23	capture	EF-Noy						U5b1-16189-@16192	E1b1a1a1a1c2c	19284	0+/-0		
PSS3072	Ferme de l'Ile	Pont-sur-Seine	48.51852	3.59633	Middle Neolithic 2	Noyen		-	Grand-Est (East)	Aube	F. Dugois/S. Loiseau	PB	23	capture	EF-Noy						U5a2d	I2a1a2	16971	0+/-0		
PSS4693	Ferme de l'Ile	Pont-sur-Seine	48.51852	3.59633	Middle Neolithic 2	Noyen	4650 +/- 45BP (GrA-46284)	3626-3351	Grand-Est (East)	Aube	F. Dugois/S. Loiseau	PB	23	capture + shotgun	EF-Noy	EF-MN2	59.02	XX	U5b3b		U5b3b		26542	0+/-0		
VAC4155-1	Pré Chevalier	La-Villeneuve-au-Chatelot	48.55007	3.61223	Middle Neolithic 2	Noyen		-	Grand-Est (East)	Aube	E. Millet	PB	24	capture	EF-Noy						J1c1b1		9877	0+/-0		
VAC4155-2	Pré Chevalier	La-Villeneuve-au-Chatelot	48.55007	3.61223	Middle Neolithic 2	Noyen			Grand-Est (East)	Aube	E. Millet	PB	24	capture	EF-Noy-rel						J1c1b1		9715	0.095+/-0.015		
BLP10	la Plaine	Beaurieux 	49.39246	3.73641	Middle Neolithic 2	Michelsberg	5275 +/- 40BP (GrA-3117)	4224-3980	Hauts-de-France (North)	Aisne	C. Thevenet	PB	22	capture + shotgun	EF-Noy	EF-MN2	32.34	XY	H1e	I	H1	I	20968	0+/-0		
Mairy4249	Les Hautes Chanvières	Mairy	49.64849	5.04797	Middle Neolithic 2	Michelsberg	4770 +/- 45BP	3646-3379	Grand-Est (East)	Ardennes	C. Laurelut	PB	28	capture	EF-Noy						K1a3a		11975	0+/-0		
PSS1	Haut de Launois	Pont-sur-Seine	48.51852	3.59633	Middle Neolithic 2	Noyen	4715 +/- 40BP (GrA-47169)	3634-3373	Grand-Est (East)	Aube	V. Desbrosse	PB	23	capture	EF-Noy						T2b-152	I2a1b	27227	0+/-0		
PSS2	Haut de Launois	Pont-sur-Seine	48.51852	3.59633	Middle Neolithic 2	Noyen			Grand-Est (East)	Aube	V. Desbrosse	PB	23	capture	EF-Noy											
PSS2323	Haut de Launois	Pont-sur-Seine	48.51852	3.59633	Middle Neolithic 2	Noyen	4775 +/- 40BP (GrA-58050)	3646-3382	Grand-Est (East)	Aube	V. Desbrosse	PB	23	capture	EF-Noy						K1a2		11579	0+/-0		
PSS3378	Haut de Launois	Pont-sur-Seine	48.51852	3.59633	Middle Neolithic 2	Noyen			Grand-Est (East)	Aube	V. Desbrosse	PB	23	capture	EF-Noy											
VAC1061	Pré Chevalier	La-Villeneuve-au-Chatelot	48.55007	3.61223	Middle/Late Neolithic 2			-	Grand-Est (East)	Aube	E. Millet	PB	24	capture	EF-Noy						U5b1-16189-@16192		11426	0+/-0		
Recy1	Parc de Référence	Recy	48.98879	4.3173	Middle/Late Neolithic 2		4710 +/- 35BP (Poz-69373)	3632-3373	Grand-Est (East)	Marne	N. Achard-Corompt	PB	27	capture	EF-Noy						T2b		21536	0+/-0		
Es1018-16	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						X2b-226		27331	0+/-0		
Es133-1	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						K1a4a1		12158	0+/-0		
Es168	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	LB	2	capture	NF-Mich						K1a4a1b		30552	0+/-0		
Es278-1	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						H10-16093		27657	0+/-0		
Es42-3	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						T2b	I	30076	0+/-0		
Es454-1	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						K1a-195		29854	0+/-0		
Es48-8	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						T2b3c		29936	0+/-0		
Es48bis	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						K1a3a		29426	0+/-0		
Es626-27	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						K1a4a1		31895	0.025+/-0.005		
Es637-1	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						K1a4a1		30960	0+/-0		
Es75-5	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						K1a4a1		25868	0+/-0		
Es791-1	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						U5b1c		23411	0+/-0		
Es90-9	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4200-3800	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture	NF-Mich						H1e1a		11425	0+/-0		
Es97-1	Mont d'Hubert	Escalles	50.91781	1.7131	Middle Neolithic 2	Michelsberg		4230-3879	Hauts-de-France (North)	Pas-de-Calais	I. Praud	PB	2	capture + shotgun	NF-Mich	NF-MN2	47.13	XY	K1a26	I	K1a-195		30207	0+/-0	0.009629	0.009930672
CCF315-1	Les Fontinettes	Cuiry-lès-Chaudardes	49.3869	3.7706	Middle Neolithic 2	Michelsberg	4800 +/- 45 BP (Ly2727)	3660-3510 	Hauts-de-France (North)	Aisne	L. Hachem	LB	25	capture	NF-Mich-Low											
CCT99	Le Champ Tordu	Cuiry-lès-Chaudardes	49.3869	3.7706	Middle Neolithic 2	Michelsberg	5040 +/- 40BP (GrA-47885)	3953-3714	Hauts-de-France (North)	Aisne	L. Hahem	LB	25	capture	NF-Mich-Low											
