Supplementary Data VII. Full ancient genomes dataset																					
Sample details for all ancient genomes imputed and analysed in this study, including published data (publication source in column 'Data source')																					
																					
Age (upper), Age (lower), Age average, Dating: radiocarbon date ranges (upper and lower bounds) for 95%CI and mean; dating source (direct date or context)																					
Y haplogroup major & Y haplogroup derived: Y-chromosomal haplogroup - major clade and derived subclade (where relevant) 																					
Coverage: Autosomal genome gepth of coverage (x)																					
Average GP: average genotype probability for called and imputed genotypes																					
Flag: flags used to mark samples in analyses (low coverage; low GP; close relationship to other sample; 0=no flag - see Methods)																					
IBD clustering: labels used for IBD clustering analysis (see Supplementary Note 3f)																					
																		IBD clustering			
Individual ID	Site	Country	Region	Group label	Latitude	Longitude	Data source	Age (upper)	Age (lower)	Age average	Dating	Sex	Y haplogroup (major)	Y haplogroup (derived)	Coverage	Average GP	Flag	Cluster ID	Cluster fine	Cluster global	Cluster group
RISE397	Kapan	Armenia	WesternAsia	Armenia_BronzeAge	39.2	46.4	Allentoft_Nature_2015	2,998	2,805	2,902	direct	XY	R1b	R1b1a1b1b	0.39	0.990	0	1.2.3.2.2.3	EuropeNE_4800BP_3000BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE507	River Kuyum	Russia	NorthAsia	Siberia_BronzeAge_Afanasievo	51.5	85.97	Allentoft_Nature_2015	5,281	4,873	5,077	direct	XX			0.38	0.992	0	1.2.3.1.4	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE511	Middle Yenisei region, Afanasieva Gora	Russia	NorthAsia	Siberia_BronzeAge_Afanasievo	54.36	90.92	Allentoft_Nature_2015	4,859	4,629	4,744	direct	XX			5.20	0.998	0	1.2.3.1.7	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE509	Middle Yenisei region, Afanasieva Gora	Russia	NorthAsia	Siberia_BronzeAge_Afanasievo	54.36	90.92	Allentoft_Nature_2015	4,837	4,627	4,732	direct	XX			4.53	0.998	0	1.2.3.1.5	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE510	Middle Yenisei region, Afanasieva Gora	Russia	NorthAsia	Siberia_BronzeAge_Afanasievo	54.36	90.92	Allentoft_Nature_2015	4,801	4,418	4,610	direct	XX			0.20	0.989	0	1.2.3.1.6	Steppe_5000BP_4300BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE505	Kytmanovo	Russia	NorthAsia	Siberia_BronzeAge_Andronovo	53.46	85.45	Allentoft_Nature_2015	3,696	3,576	3,636	direct	XX			7.38	0.998	0	1.2.2.2.1.1.10	Steppe_4000BP_2500BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE503	Kytmanovo	Russia	NorthAsia	Siberia_BronzeAge_Andronovo	53.46	85.45	Allentoft_Nature_2015	3,677	3,461	3,569	direct	XX			0.71	0.995	0	1.2.2.2.1.1.9	Steppe_4000BP_2500BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE500	Kytmanovo	Russia	NorthAsia	Siberia_BronzeAge_Andronovo	53.46	85.45	Allentoft_Nature_2015	3,650	3,450	3,550	context	XX			1.42	0.996	0	1.2.2.2.1.1.8	Steppe_4000BP_2500BP	Eurasia_5000BP_200BP	Nomad_Steppe_early
RISE512	Kytmanovo	Russia	NorthAsia	Siberia_BronzeAge_Andronovo	53.46	85.45	Allentoft_Nature_2015	3,396	3,248	3,322	direct	XY	R1a	R1a1a1b	0.25	0.988	0	3.1.2.1.1.1.8	SteppeC_8300BP_7000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE493	Sabinka 2	Russia	NorthAsia	Siberia_BronzeAge_Karasuk	53.15	91.05	Allentoft_Nature_2015	3,481	3,377	3,429	direct	XY	Q1a	Q1a2	6.45	0.997	0	3.1.1.1.4.4	Steppe_3500BP_1300BP	Asia_45000BP_200BP	Nomad_Steppe_lateA
